job_title,salary_estimate,industry,sector,job_city,job_state,size,founded,type_of_ownership,revenue,seniority,seniority_level,avg_salary,avg_salary_predicted,final_salary,was_missing
Senior Risk Data Scientist,$107K-$172K (Glassdoor est.),Financial Transaction Processing,Finance,Palo Alto,CA,501 to 1000 employees,2006,Company - Public,$50 to $100 million (USD),senior,3,139500,,139500,False
Data Scientist in Artificial Intelligence Early Career,$49K-$85K (Glassdoor est.),Energy,"Oil, Gas, Energy & Utilities",Richland,WA,1001 to 5000 employees,1965,Government,$500 million to $1 billion (USD),unknown,0,67000,,67000,False
Data Scientist,$61K-$109K (Glassdoor est.),Sporting Goods Stores,Retail,Coraopolis,PA,10000+ employees,1948,Company - Public,$5 to $10 billion (USD),unknown,0,85000,,85000,False
Data Scientist,$88K-$148K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Framingham,MA,51 to 200 employees,2006,Company - Private,$1 to $5 million (USD),unknown,0,118000,,118000,False
Data Scientist,$60K-$99K (Glassdoor est.),Computer Hardware & Software,Information Technology,Atlanta,GA,51 to 200 employees,2003,Company - Private,$25 to $50 million (USD),unknown,0,79500,,79500,False
Data Scientist - Research,$41K-$72K (Glassdoor est.),Advertising & Marketing,Business Services,Boston,MA,201 to 500 employees,1999,Company - Public,$100 to $500 million (USD),unknown,0,56500,,56500,False
Data Scientist,$96K-$161K (Glassdoor est.),Staffing & Outsourcing,Business Services,Philadelphia,PA,1 to 50 employees,-1,Company - Private,$5 to $10 million (USD),unknown,0,128500,,128500,False
R&D Data Analysis Scientist,$65K-$130K (Glassdoor est.),Computer Hardware & Software,Information Technology,Vancouver,WA,10000+ employees,1939,Company - Public,Unknown / Non-Applicable,unknown,0,97500,,97500,False
Analytics Consultant,$52K-$81K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Indianapolis,IN,1 to 50 employees,2015,Company - Private,Unknown / Non-Applicable,unknown,0,66500,,66500,False
"Director, Data Science",$139K-$220K (Glassdoor est.),Wholesale,Business Services,Lake Forest,IL,10000+ employees,1927,Company - Public,$10+ billion (USD),unknown,0,179500,,179500,False
Scientist,$50K-$102K (Glassdoor est.),Research & Development,Business Services,Maryland Heights,MO,501 to 1000 employees,1978,Subsidiary or Business Segment,$50 to $100 million (USD),unknown,0,76000,,76000,False
Data Scientist SR,$85K-$139K (Glassdoor est.),IT Services,Information Technology,Charlottesville,VA,501 to 1000 employees,2010,Company - Private,$100 to $500 million (USD),unknown,0,112000,,112000,False
Data Scientist,$74K-$122K (Glassdoor est.),Mining,Mining & Metals,Pittsburgh,PA,1001 to 5000 employees,1860,Company - Private,$1 to $2 billion (USD),unknown,0,98000,,98000,False
R&D Sr Data Scientist,$99K-$157K (Glassdoor est.),Computer Hardware & Software,Information Technology,Vancouver,WA,10000+ employees,1939,Company - Public,Unknown / Non-Applicable,unknown,0,128000,,128000,False
Customer Data Scientist/Sales Engineer (Bay,$79K-$222K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Mountain View,CA,201 to 500 employees,2011,Company - Private,Unknown / Non-Applicable,unknown,0,150500,,150500,False
Research Scientist,$57K-$118K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,51 to 200 employees,2000,Company - Private,$10 to $25 million (USD),unknown,0,87500,,87500,False
Data Scientist,$83K-$137K (Glassdoor est.),Aerospace & Defense,Aerospace & Defense,Chantilly,VA,1001 to 5000 employees,2017,Company - Private,$1 to $2 billion (USD),unknown,0,110000,,110000,False
Data Scientist,$86K-$141K (Glassdoor est.),IT Services,Information Technology,San Jose,CA,10000+ employees,1995,Company - Private,$500 million to $1 billion (USD),unknown,0,113500,,113500,False
Data Scientist,$94K-$154K (Glassdoor est.),Health Care Services & Hospitals,Health Care,San Francisco,CA,51 to 200 employees,2016,Company - Private,$1 to $5 million (USD),unknown,0,124000,,124000,False
Jr. Business Data Analyst,$37K-$76K (Glassdoor est.),Advertising & Marketing,Business Services,Harrisburg,PA,201 to 500 employees,1997,Company - Private,$25 to $50 million (USD),unknown,0,56500,,56500,False
Data Scientist,$100K-$160K (Glassdoor est.),Aerospace & Defense,Aerospace & Defense,Laurel,MD,5001 to 10000 employees,1942,Nonprofit Organization,$1 to $2 billion (USD),unknown,0,130000,,130000,False
Data Analyst,$55K-$100K (Glassdoor est.),Computer Hardware & Software,Information Technology,Chicago,IL,51 to 200 employees,2008,Company - Private,$10 to $25 million (USD),unknown,0,77500,,77500,False
Data Engineer,$60K-$114K (Glassdoor est.),Consulting,Business Services,Arlington,VA,201 to 500 employees,2002,Company - Private,$50 to $100 million (USD),unknown,0,87000,,87000,False
Data Analyst,$39K-$68K (Glassdoor est.),Wholesale,Business Services,Tacoma,WA,501 to 1000 employees,1948,Company - Private,$100 to $500 million (USD),unknown,0,53500,,53500,False
Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),"Department, Clothing, & Shoe Stores",Retail,Plano,TX,10000+ employees,1962,Company - Public,$10+ billion (USD),unknown,0,139000,,139000,False
Data Scientist,$86K-$142K (Glassdoor est.),Consulting,Business Services,San Jose,CA,201 to 500 employees,2005,Company - Private,$25 to $50 million (USD),unknown,0,114000,,114000,False
Data Scientist,$64K-$107K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Miami,FL,501 to 1000 employees,2008,Company - Private,$100 to $500 million (USD),unknown,0,85500,,85500,False
Data Management Specialist,$31K-$65K (Glassdoor est.),IT Services,Information Technology,Huntsville,AL,51 to 200 employees,1996,Company - Private,$25 to $50 million (USD),unknown,0,48000,,48000,False
E-Commerce Data Analyst,$34K-$62K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,New Orleans,LA,51 to 200 employees,1999,Company - Private,Unknown / Non-Applicable,unknown,0,48000,,48000,False
Sr. Scientist II,$117K-$231K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,San Francisco,CA,201 to 500 employees,1990,Company - Public,$100 to $500 million (USD),unknown,0,174000,,174000,False
Insurance Data Scientist,$64K-$106K (Glassdoor est.),Financial Analytics & Research,Finance,Atlanta,GA,5001 to 10000 employees,1968,Company - Public,$1 to $2 billion (USD),unknown,0,85000,,85000,False
Data Modeler,$79K-$134K (Glassdoor est.),IT Services,Information Technology,Landover,MD,51 to 200 employees,2003,Company - Private,$10 to $25 million (USD),unknown,0,106500,,106500,False
Data Analyst / Scientist,$52K-$93K (Glassdoor est.),IT Services,Information Technology,Patuxent River,MD,1001 to 5000 employees,1988,Company - Private,$100 to $500 million (USD),unknown,0,72500,,72500,False
Scientist,$55K-$116K (Glassdoor est.),IT Services,Information Technology,Suitland,MD,10000+ employees,1996,Subsidiary or Business Segment,$10+ billion (USD),unknown,0,85500,,85500,False
Data Scientist,$72K-$123K (Glassdoor est.),Federal Agencies,Government,McLean,VA,5001 to 10000 employees,1958,Nonprofit Organization,$1 to $2 billion (USD),unknown,0,97500,,97500,False
Data Scientist,$74K-$124K (Glassdoor est.),IT Services,Information Technology,Fort Belvoir,VA,501 to 1000 employees,2010,Company - Private,$100 to $500 million (USD),unknown,0,99000,,99000,False
Data Analyst,$40K-$73K (Glassdoor est.),Insurance Carriers,Insurance,Milwaukee,WI,1001 to 5000 employees,2001,Company - Private,$2 to $5 billion (USD),unknown,0,56500,,56500,False
Lead Data Scientist,$102K-$164K (Glassdoor est.),IT Services,Information Technology,Silver Spring,MD,1 to 50 employees,2007,Company - Private,Unknown / Non-Applicable,lead,4,133000,,133000,False
Data Scientist,$89K-$153K (Glassdoor est.),Research & Development,Business Services,New York,NY,51 to 200 employees,2012,Company - Private,Unknown / Non-Applicable,unknown,0,121000,,121000,False
Data Scientist,$61K-$110K (Glassdoor est.),Security Services,Business Services,Syracuse,NY,501 to 1000 employees,1992,Company - Private,Unknown / Non-Applicable,unknown,0,85500,,85500,False
"Data Scientist, Rice University",$65K-$110K (Glassdoor est.),Education Training Services,Education,Houston,TX,1001 to 5000 employees,2015,Subsidiary or Business Segment,Unknown / Non-Applicable,unknown,0,87500,,87500,False
Senior Data Scientist,$200K-$275K(Employer est.),Consulting,Business Services,Washington,DC,1001 to 5000 employees,1935,Company - Private,Unknown / Non-Applicable,senior,3,237500,,237500,False
Data Engineer,$68K-$123K (Glassdoor est.),IT Services,Information Technology,Charlotte,NC,1001 to 5000 employees,1997,Company - Private,$100 to $500 million (USD),unknown,0,95500,,95500,False
Senior Data Scientist,$80K-$129K (Glassdoor est.),Transportation Equipment Manufacturing,Manufacturing,Southfield,MI,10000+ employees,1994,Company - Public,$5 to $10 billion (USD),senior,3,104500,,104500,False
Financial Data Analyst,$41K-$72K (Glassdoor est.),Computer Hardware & Software,Information Technology,Matawan,NJ,201 to 500 employees,2012,Company - Private,Unknown / Non-Applicable,unknown,0,56500,,56500,False
Senior Data Analyst,$39K-$71K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Phoenix,AZ,201 to 500 employees,2010,Company - Private,$25 to $50 million (USD),senior,3,55000,,55000,False
Research Scientist,$38K-$85K (Glassdoor est.),Health Care Services & Hospitals,Health Care,Omaha,NE,1001 to 5000 employees,1977,Hospital,Unknown / Non-Applicable,unknown,0,61500,,61500,False
Data Scientist,$121K-$193K (Glassdoor est.),Computer Hardware & Software,Information Technology,San Francisco,CA,201 to 500 employees,2006,Company - Private,$100 to $500 million (USD),unknown,0,157000,,157000,False
Data Engineer,$54K-$102K (Glassdoor est.),Internet,Information Technology,Lyndhurst,NJ,201 to 500 employees,2019,Company - Private,Unknown / Non-Applicable,unknown,0,78000,,78000,False
Data Scientist,$83K-$144K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1781,Company - Public,$10+ billion (USD),unknown,0,113500,,113500,False
Data Scientist,$120K-$160K (Glassdoor est.),Internet,Information Technology,New York,NY,51 to 200 employees,2009,Company - Private,$100 to $500 million (USD),unknown,0,140000,,140000,False
Data Scientist,$102K-$163K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,San Francisco,CA,51 to 200 employees,2015,Company - Private,Unknown / Non-Applicable,unknown,0,132500,,132500,False
Data Engineer,$76K-$140K (Glassdoor est.),Computer Hardware & Software,Information Technology,San Francisco,CA,5001 to 10000 employees,1982,Company - Public,$2 to $5 billion (USD),unknown,0,108000,,108000,False
Ag Data Scientist,$60K-$101K (Glassdoor est.),Farm Support Services,Agriculture & Forestry,Atlanta,IN,501 to 1000 employees,1937,Company - Private,$50 to $100 million (USD),unknown,0,80500,,80500,False
Data Scientist,$82K-$133K (Glassdoor est.),Health Care Services & Hospitals,Health Care,Rockville,MD,201 to 500 employees,2000,Company - Private,Unknown / Non-Applicable,unknown,0,107500,,107500,False
Data Engineer,$65K-$125K (Glassdoor est.),Consulting,Business Services,Minneapolis,MN,51 to 200 employees,1996,Company - Private,$25 to $50 million (USD),unknown,0,95000,,95000,False
Data Scientist II,$91K-$148K (Glassdoor est.),Health Care Services & Hospitals,Health Care,Los Angeles,CA,1001 to 5000 employees,1997,Nonprofit Organization,Unknown / Non-Applicable,unknown,0,119500,,119500,False
Senior Data Engineer,$95K-$173K (Glassdoor est.),Advertising & Marketing,Business Services,Charlotte,NC,1001 to 5000 employees,2000,Company - Private,$1 to $2 billion (USD),senior,3,134000,,134000,False
Data Scientist,$77K-$124K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Cambridge,MA,201 to 500 employees,1999,Company - Private,Unknown / Non-Applicable,unknown,0,100500,,100500,False
Data Scientist,$80K-$135K (Glassdoor est.),TV Broadcast & Cable Networks,Media,Cincinnati,OH,1001 to 5000 employees,1878,Company - Public,$500 million to $1 billion (USD),unknown,0,107500,,107500,False
Data Engineer,$85K-$159K (Glassdoor est.),Internet,Information Technology,Washington,DC,51 to 200 employees,2015,Company - Private,Unknown / Non-Applicable,unknown,0,122000,,122000,False
Data Engineer,$80K-$105K(Employer est.),Real Estate,Real Estate,Chicago,IL,1001 to 5000 employees,1993,Company - Public,$2 to $5 billion (USD),unknown,0,92500,,92500,False
Data Analyst,$43K-$81K (Glassdoor est.),Research & Development,Business Services,Baltimore,MD,501 to 1000 employees,1986,Company - Private,$100 to $500 million (USD),unknown,0,62000,,62000,False
Project Scientist,$29K-$50K (Glassdoor est.),Architectural & Engineering Services,Business Services,Alabaster,AL,51 to 200 employees,2000,Unknown,$25 to $50 million (USD),unknown,0,39500,,39500,False
Data Scientist,$82K-$133K (Glassdoor est.),Industrial Manufacturing,Manufacturing,"Santa Fe Springs, Los Angeles",CA,1001 to 5000 employees,1966,Company - Private,$100 to $500 million (USD),unknown,0,107500,,107500,False
Data Analytics Manager,$26K-$55K (Glassdoor est.),Staffing & Outsourcing,Business Services,Kansas City,MO,501 to 1000 employees,2017,Company - Private,Unknown / Non-Applicable,unknown,0,40500,,40500,False
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,$61K-$118K (Glassdoor est.),IT Services,Information Technology,Ashburn,VA,10000+ employees,1958,Company - Public,$10+ billion (USD),senior,3,89500,,89500,False
Data Scientist,$60K-$102K (Glassdoor est.),Consulting,Business Services,Chicago,IL,201 to 500 employees,2008,Company - Private,$50 to $100 million (USD),unknown,0,81000,,81000,False
Senior Data Scientist,$112K-$182K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Herndon,VA,501 to 1000 employees,2012,Company - Private,$100 to $500 million (USD),senior,3,147000,,147000,False
Data Scientist,$64K-$106K (Glassdoor est.),Brokerage Services,Finance,Fort Worth,TX,1001 to 5000 employees,1958,Company - Private,$100 to $500 million (USD),unknown,0,85000,,85000,False
Associate Scientist,$51K-$112K (Glassdoor est.),Consumer Products Manufacturing,Manufacturing,Valencia,CA,1001 to 5000 employees,1971,Company - Private,$1 to $2 billion (USD),unknown,0,81500,,81500,False
"Scientist 2, QC Viral Vector",$113K-$223K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Novato,CA,1001 to 5000 employees,1997,Company - Public,$500 million to $1 billion (USD),unknown,0,168000,,168000,False
Machine Learning Engineer,$72K-$129K (Glassdoor est.),Aerospace & Defense,Aerospace & Defense,Aurora,CO,1 to 50 employees,2007,Company - Private,Unknown / Non-Applicable,unknown,0,100500,,100500,False
Data Scientist/ML Engineer,$71K-$123K (Glassdoor est.),Consulting,Business Services,New York,NY,1001 to 5000 employees,1943,Company - Private,$100 to $500 million (USD),unknown,0,97000,,97000,False
Data Scientist,$64K-$106K (Glassdoor est.),Research & Development,Business Services,Chantilly,VA,5001 to 10000 employees,1968,Company - Public,$1 to $2 billion (USD),unknown,0,85000,,85000,False
Customer Data Scientist,$118K-$189K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Mountain View,CA,201 to 500 employees,2011,Company - Private,Unknown / Non-Applicable,unknown,0,153500,,153500,False
Data Engineer,Employer Provided Salary:$120K-$145K,IT Services,Information Technology,Tampa,FL,51 to 200 employees,2017,Company - Private,Unknown / Non-Applicable,unknown,0,132500,,132500,False
Data Engineer,$80K-$120K (Glassdoor est.),Computer Hardware & Software,Information Technology,Chicago,IL,51 to 200 employees,2008,Company - Private,$10 to $25 million (USD),unknown,0,100000,,100000,False
Sr. Data Scientist,$80K-$130K (Glassdoor est.),Travel Agencies,Travel & Tourism,Denver,CO,201 to 500 employees,2011,Company - Private,Unknown / Non-Applicable,unknown,0,105000,,105000,False
